provincia;canton;num_vivienda;num_hogar;num_persona;rol_hogar;sexo_nacim;anios;cultura;tip_colegio;nivel_academic;ocupacion;estado_conyugal;hijos;area;discapacidad;idiomas;tipo_vivienda
1;1;90;1;6;9;2;4;6;1;3;99;0;99;2;8;2;1
1;1;90;1;7;9;1;2;6;0;1;99;0;99;2;8;2;1
1;1;91;1;1;1;2;60;6;0;5;1;6;8;1;8;2;4
1;1;91;1;2;3;2;35;6;0;6;6;6;99;1;8;2;4
1;1;91;1;3;3;2;27;6;0;5;6;6;99;1;8;2;4
1;1;91;1;4;3;1;23;6;0;8;99;6;99;1;8;2;4
1;1;91;1;5;6;2;14;6;1;6;99;6;99;1;8;2;4
1;1;92;1;1;1;1;54;6;0;5;1;4;99;2;5;2;1
1;1;93;1;1;1;2;34;6;0;11;99;5;3;1;8;2;4
1;1;93;1;2;3;1;8;6;1;6;99;0;99;1;8;2;4
1;1;93;1;3;3;1;6;6;1;6;99;0;99;1;8;2;4
1;1;94;1;1;1;1;34;6;0;8;1;6;99;1;8;2;4
1;1;94;1;2;2;1;29;6;0;8;99;6;99;1;8;2;4
1;1;95;1;1;1;1;45;6;0;5;3;5;99;2;8;2;1
1;1;95;1;2;2;2;48;6;0;5;99;5;2;2;8;2;1
1;1;95;1;3;3;1;21;6;0;8;1;5;99;2;8;2;1
1;1;95;1;4;5;2;21;6;0;8;99;5;1;2;8;2;1
1;1;95;1;5;6;1;;6;0;1;99;0;99;2;8;0;1
1;1;95;1;6;8;2;91;6;0;1;99;4;6;2;7;2;1
1;1;96;1;1;1;1;41;6;0;5;1;6;99;1;8;2;5
1;1;97;1;1;1;2;41;6;0;5;1;3;3;1;8;2;4
1;1;97;1;2;3;2;19;6;0;8;99;6;99;1;8;2;4
1;1;97;1;3;3;1;9;6;1;6;99;0;99;1;8;2;4
1;1;98;1;1;1;1;80;6;0;5;6;4;99;2;8;2;1
1;1;98;1;2;3;2;43;6;0;1;1;6;4;2;8;2;1
1;1;98;1;3;6;2;24;6;0;6;1;1;1;2;8;2;1
1;1;98;1;4;6;1;20;6;0;6;1;1;99;2;8;2;1
1;1;98;1;5;6;1;15;6;0;6;1;6;99;2;8;2;1
1;1;98;1;6;9;1;26;6;0;5;1;2;99;2;8;2;1
1;1;98;1;7;9;2;24;6;0;8;1;1;1;2;8;2;1
1;1;98;1;8;9;2;1;6;0;1;99;0;99;2;8;2;1
1;1;99;1;1;1;1;33;6;0;11;1;1;99;2;8;2;2
1;1;99;1;2;2;2;35;6;0;11;6;1;2;2;8;2;2
1;1;99;1;3;3;2;14;6;1;6;99;6;99;2;8;2;2
1;1;99;1;4;3;1;8;6;1;6;99;0;99;2;8;2;2
1;1;100;1;1;1;1;49;6;0;8;2;5;99;2;8;2;1
1;1;100;1;2;2;2;42;6;0;5;99;5;2;2;8;2;1
1;1;100;1;3;3;2;17;6;1;8;99;6;99;2;8;2;1
1;1;100;1;4;3;2;9;6;1;6;99;0;99;2;8;2;1
1;1;100;1;5;9;2;83;6;0;5;99;6;99;2;1;2;1
1;1;101;1;1;1;1;70;6;0;11;5;5;99;1;8;2;1
1;1;101;1;2;2;2;64;6;0;11;6;5;3;1;8;2;1
1;1;102;1;1;1;1;33;6;0;12;1;5;99;1;8;7;1
1;1;102;1;2;2;2;32;6;0;11;1;5;2;1;8;7;1
1;1;102;1;3;3;1;12;6;2;6;99;6;99;1;8;2;1
1;1;102;1;4;3;2;4;6;2;6;99;0;99;1;8;2;1
1;1;103;1;1;1;2;34;6;0;7;99;5;3;2;8;2;5
1;1;103;1;2;2;1;38;6;0;8;1;5;99;2;8;2;5
1;1;103;1;3;3;2;15;6;1;8;99;6;99;2;8;2;5
1;1;103;1;4;3;2;13;6;1;6;99;6;99;2;8;2;5
1;1;103;1;5;9;1;26;6;0;8;1;6;99;2;8;2;5
1;1;103;1;6;9;1;19;6;1;8;99;6;99;2;8;2;5
1;1;103;1;7;9;2;4;6;1;3;99;0;99;2;8;2;5
1;1;104;1;1;1;1;45;6;0;5;1;5;99;1;8;2;4
1;1;104;1;2;2;2;37;6;0;5;99;5;2;1;8;2;4
1;1;104;1;3;3;2;9;6;1;6;99;0;99;1;8;2;4
1;1;104;1;4;3;1;4;6;1;3;99;0;99;1;8;2;4
1;1;105;1;1;1;2;51;6;0;7;99;3;2;1;8;2;1
1;1;105;1;2;3;2;22;6;1;11;99;6;99;1;8;2;1
1;1;105;1;3;3;2;9;6;1;6;99;0;99;1;8;2;1
1;1;106;1;1;1;2;44;6;0;10;1;5;4;1;8;2;4
1;1;106;1;2;2;1;42;6;0;8;1;5;99;1;8;2;4
1;1;106;1;3;3;1;24;6;1;11;1;6;99;1;8;2;4
1;1;106;1;4;3;1;19;6;0;8;99;6;99;1;8;2;4
1;1;106;1;5;3;2;9;6;1;6;99;0;99;1;8;2;4
1;1;106;1;6;3;1;4;6;1;3;99;0;99;1;8;2;4
1;1;107;1;1;1;2;68;6;0;1;6;6;3;1;6;2;4
1;1;107;1;2;3;1;44;6;0;5;6;6;99;1;8;2;4
1;1;107;1;3;3;1;38;6;0;5;6;6;99;1;8;2;4
1;1;109;1;1;1;2;46;6;0;8;1;5;2;1;8;2;5
1;1;109;1;2;2;1;48;6;0;11;1;5;99;1;8;2;5
1;1;109;1;3;3;2;20;6;2;11;99;6;99;1;8;7;5
1;1;109;1;4;3;2;16;6;2;8;99;6;99;1;8;7;5
1;1;110;1;1;1;2;22;6;1;11;99;6;99;1;8;2;1
1;1;111;1;1;1;1;33;6;0;11;6;1;99;1;8;7;4
1;1;111;1;2;2;2;29;6;0;11;6;1;2;1;8;2;4
1;1;111;1;3;3;2;9;6;1;6;99;0;99;1;8;2;4
1;1;111;1;4;3;1;7;6;1;6;99;0;99;1;8;2;4
1;1;112;1;1;1;2;62;6;0;8;1;2;6;2;8;2;1
1;1;113;1;1;1;1;54;6;0;12;5;5;99;1;8;2;4
1;1;113;1;2;2;2;48;6;0;11;99;5;99;1;8;2;4
1;1;114;1;1;1;2;24;6;0;8;99;1;1;2;8;2;5
1;1;114;1;2;2;1;23;6;0;8;3;1;99;2;8;2;5
1;1;114;1;3;3;1;3;6;0;1;99;0;99;2;8;2;5
1;1;115;1;1;1;1;61;6;0;5;99;6;99;2;6;2;3
1;1;116;1;1;1;1;72;6;0;11;99;5;99;1;8;2;1
1;1;116;1;2;2;2;72;6;0;7;99;5;3;1;8;2;1
1;1;116;1;3;3;2;33;6;0;11;6;2;1;1;8;2;1
1;1;116;1;4;9;2;9;6;1;6;99;0;99;1;8;2;1
1;1;117;1;1;1;1;73;6;0;5;99;6;99;2;7;2;4
1;1;118;1;1;1;1;43;6;0;5;6;1;99;2;8;2;1
1;1;118;1;2;2;2;27;6;0;5;3;1;2;2;8;2;1
1;1;118;1;3;3;1;12;6;1;6;99;6;99;2;8;2;1
1;1;118;1;4;3;1;12;6;1;6;99;6;99;2;8;2;1
1;1;118;1;5;3;2;10;6;1;6;99;0;99;2;8;2;1
1;1;119;1;1;1;1;57;6;0;8;2;5;99;1;8;2;2
1;1;119;1;2;2;2;51;6;0;12;1;5;3;1;8;2;2
1;1;119;1;3;3;1;29;6;0;11;6;6;99;1;8;2;2
1;1;119;1;4;3;1;20;6;1;11;99;6;99;1;8;2;2
1;1;120;1;1;1;1;35;6;0;5;3;5;99;2;8;2;5
